Name,Pos,Votes,Avg_rk,Status
A.J. Leggett,DB,1,120.00,UD
Aaron Bailey,QB,1,150.00,UD
Aaron Burbridge,WR,3,92.00,Drafted
Abdul Bello,OL,3,75.67,UD
Adam Breneman,TE,4,59.00,UD
Adam Choice,RB,1,109.00,UD
Adam McLean,DL,2,105.00,UD
Adarius Pickett,DB,2,129.00,UD
Adolphus Washington,DL,4,32.25,Drafted
Adonis Thomas,LB,1,54.00,UD
Adoree' Jackson,DB,4,11.50,Drafted
Adrian Colbert,DB,1,97.00,Drafted
Aeris Williams,RB,1,148.00,UD
Ahmad Fulwood,WR,3,117.00,UD
Albert Huggins,DL,3,87.33,UD
Alex Anzalone,LB,4,52.00,Drafted
Alex Balducci,DL,1,97.00,UD
Alex Bars,OL,3,94.33,UD
Alex Carter,DB,4,74.25,Drafted
Alex Collins,RB,4,57.75,Drafted
Alex Norman,DL,1,97.00,UD
Alex Ofodile,WR,2,94.00,UD
Alex Ross,RB,4,80.50,UD
Alize Jones,TE,2,92.50,UD
Alize Mack,TE,2,82.00,UD
Allen Lazard,WR,4,85.50,UD
Al-Quadin Muhammad,DL,4,53.00,Drafted
Altee Tenpenny,RB,4,59.50,UD
Alton Howard,WR,1,150.00,UD
Alvin Bailey,ATH,2,70.00,UD
Alvin Kamara,RB,4,46.25,Drafted
Amari Cooper,WR,4,48.50,Drafted
Amos Leggett,DB,1,110.00,UD
Andrew Brown,DL,4,14.25,Drafted
Andrew Butcher,DL,1,113.00,UD
Andrew Trumbetti,DL,3,110.00,UD
Andrus Peat,OL,4,34.00,Drafted
Andy Bauer,OL,2,118.00,UD
Anfernee Jennings,DL,1,118.00,UD
Angelo Jean-Louis,WR,4,83.25,UD
Anthony Alford,ATH,3,97.00,UD
Anthony Averett,DB,1,116.00,Drafted
Anthony Jennings,QB,1,145.00,UD
Anthony Moten,DL,1,110.00,UD
Anthony Wheeler,LB,4,88.75,UD
Antonio Conner,DB,2,55.00,UD
Antwuan Davis,DB,3,126.00,UD
Anu Solomon,QB,1,99.00,UD
ArDarius Stewart,ATH,3,71.67,Drafted
